country,air_quality_PM10,attacked
Slovenia,-3.0795288379148364,0
South Africa,-6.318641671046023,0
Sudan,1.000823359676024,0
Tanzania,0.5955928259588573,0
Vietnam,-0.0341371182761878,0
Ukraine,-0.8503181711810155,0
United Arab Emirates,-0.9183761332862193,0
Uzbekistan,-2.8132888774478757,0
Zambia,4.746225986177426,0
Poland,1.6079097843519463,1
Iraq,-11.070383600132999,1
Turkey,0.8836770361461074,0
Indonesia,3.7955532135849985,1
Afghanistan,-0.2080001797642439,0
Albania,-0.3086745301508367,0
Andorra,-0.8109444517037357,0
Angola,1.6120707611406966,0
Armenia,3.2532101308595607,1
Bahrain,-7.438147737905238,1
Belarus,3.031877102941958,0
Bosnia and Herzegovina,4.353452939202271,0
Botswana,-1.95626117391326,0
Bulgaria,-1.1984171561491372,0
Burundi,3.978234418598369,1
Madagascar,1.0725911380272528,0
Cape Verde,-13.428217264312883,1
Iran,-10.32308224968342,1
Chad,-3.498069034605315,0
Iceland,-4.124968654222914,0
Hungary,1.3506990472442482,0
Vatican City,11.601648579507543,1
Guinea,-1.6114235771204668,0
Ghana,-0.2889947275193973,0
Guinea-Bissau,0.2082133036981709,0
France,-2.158129075317479,1
Finland,0.3046538966550165,0
Eritrea,-11.329195736858166,0
Equatorial Guinea,6.650605121068875,1
Germany,-1.5497408669994819,1
Mauritius,1.829663610979967,0
Turkey,1.4022042246349615,0
Myanmar,0.0749795062914459,0
Mozambique,0.255506443335471,0
Mauritania,0.4370074951317541,0
Malta,0.9344646856809,0
Malawi,3.015948822229408,1
Thailand,4.230480425967626,0
Kuwait,-0.9948847766666269,1
Kenya,-1.0015278731076458,0
Nigeria,-1.4763543990439731,0
Mali,-2.5794863331616678,0
Oman,-0.9330888422285242,0
Sudan,2.6667490573985937,0
Russia,-0.8522304930354596,0
Senegal,0.0702980815205353,0
Slovenia,-0.8294739153222255,0
South Africa,3.760869448749955,0
Jordan,1.4500949156391214,0
Tanzania,-4.286729386945376,0
Vietnam,-3.2344577058808754,0
Ukraine,-8.8311757333975,0
United Arab Emirates,0.2819872671566861,0
Uzbekistan,-0.1377220186577447,0
Zambia,-0.7994188317663649,0
Poland,-3.4068494243503604,1
Iraq,-0.3342819525810796,1
Iran,13.178080828852167,1
Indonesia,1.923532683409796,1
Afghanistan,-0.9601323120932128,0
Albania,-1.7630517578529317,0
Andorra,2.1517532840056037,0
Angola,-0.4178756020252258,0
Armenia,-7.200371329719676,1
Bahrain,-14.881170535756839,1
Belarus,-0.1008532752859411,0
Bosnia and Herzegovina,0.103148062331467,0
Bulgaria,1.66135256940931,0
Burundi,-1.5635394654575059,1
Madagascar,-1.093339338399148,0
Cape Verde,13.93048233704161,1
Botswana,1.6038733752045158,0
Equatorial Guinea,10.753659117974767,1
Iceland,-1.8031118957873904,0
Chad,-3.486732845808813,0
Vatican City,-5.1168058951858395,1
Guinea-Bissau,2.640022474583533,0
Guinea,-4.466560699709525,0
Hungary,2.1953626108337616,0
Germany,-9.440980415411445,1
France,-6.630833174808528,1
Finland,1.6915960343942884,0
Ghana,0.2363257300064603,0
Eritrea,2.008652756643444,0
Kenya,-0.3461955368231531,0
Turkey,1.3408964136130248,0
Myanmar,-1.7745328125169209,0
Mozambique,0.8773571072069551,0
Mauritius,-2.208087792140609,0
Mali,0.6974974469310926,0
Malawi,1.4914170076961746,1
Thailand,-0.6876821952701796,0
Kuwait,-10.97873821743335,1
Nigeria,2.680403543853477,0
Mauritania,-3.495069583917532,0
Oman,1.5549316884904654,0
Malta,3.187922874707776,0
Russia,0.8745886785752873,0
Senegal,0.1181996888359465,0
Slovenia,2.0026722605712,0
South Africa,2.177616931400248,0
Sudan,-0.0684699902553917,0
Tanzania,-0.6227581055944907,0
Vietnam,-0.4975258529139743,0
Ukraine,-1.4808542923555186,0
United Arab Emirates,-0.3368344131586427,0
Uzbekistan,1.527062255781458,0
