country,2024-09-23,2024-10-25,2024-11-26,2024-12-28,2025-01-29,attacked
Germany,-15.12526347997071,-9.710623830432542,6.048585366044319,-13.49380006435229,14.354958174945882,1
France,6.187689901650106,-1.480314992703752,-11.816329252102634,-0.91863643076546,12.108344608894528,1
Finland,0.1553083018095571,-1.6429672386625052,-0.2193522337497874,-3.587914828902755,0.827307522337951,0
Eritrea,-9.909803793582238,-9.844002096747616,-10.48391932171056,19.40202677182915,11.32805627567513,1
Ghana,-0.0138023251644875,2.5029069638052417,1.689124899007151,4.167907259820962,-3.2282723163728564,0
Myanmar,-2.349165734614406,-3.3295065294663866,-2.002687541091425,0.2119453956505193,1.175309110391935,0
Mozambique,-1.239129051620759,0.2838644867992461,-1.4958269854484578,0.8574588969156807,-0.8038130257182514,0
Mauritius,-2.9004772914670984,3.003047092154425,5.547952875769768,2.181009523800628,1.9792738859088777,0
Kenya,1.6990912553425694,1.9459178438997555,-1.133573494196673,-0.1100195888545444,-5.950024538482114,0
Mauritania,-2.123672764954691,-11.987633503845103,-2.8287911221032704,1.4542885241660934,-4.278220070252575,0
Mali,0.1764408284007521,0.7738491884447022,0.4272077304850135,2.35010051043302,-0.8200919485518398,0
Malawi,8.999112342523919,9.638677606046992,-0.480494182784918,8.564248598595295,2.675820250677905,1
Thailand,1.330716211792127,1.0526547489534626,-3.716125899013434,0.0788229917237543,0.0949266286509928,0
Kuwait,-16.03877938278475,-0.6852604845722929,-8.722857757433413,15.997345311889497,-9.754146731953435,1
Nigeria,0.991559402401216,-0.5119408696278482,0.450744428414438,-4.936162580718075,0.427682730032085,0
Malta,-6.646200417149741,-9.823676303289306,10.575625266036822,15.226019652437865,-2.906688387250963,1
Oman,9.387382388717658,-11.3665705914504,-4.492114912128633,1.6470645517049078,2.329980447296096,1
Sudan,-8.084704149802018,1.5120657036566385,-8.515918418021041,12.666247684111507,12.60123193983638,1
Russia,0.3553445912435918,3.311443123247524,3.5195844109037715,0.5273681676665327,-5.023303725205297,0
Senegal,-14.62568287147934,-8.56394819271019,12.14233404492557,10.492416200200068,-2.401629077320459,1
Slovenia,-1.7329400331068203,-0.620398159245416,-9.280017564450832,0.6349068585380053,0.6997219859112269,0
South Africa,-2.615290264440843,-7.318752053153204,-3.8712878537939135,1.5610014731459705,-0.0237493052192921,0
Tanzania,1.2250141219220427,3.4199013686381208,-0.0706280034161938,-0.2835631968274237,-0.6662504772911861,0
Vietnam,-2.2306522271985654,-0.5051081451232886,0.747814331056146,-4.733104972490539,1.0353682509149718,0
Ukraine,2.618763231564252,0.2000111882900168,-1.3983065919526738,-1.4514274045264302,0.0887281022750848,0
United Arab Emirates,-4.313051518080998,0.2666096567735405,0.3965142135525302,0.1288047114338832,5.276131591614926,0
Uzbekistan,0.2472583796040067,-0.2347020709645935,0.7910707760315504,0.0265842492195828,0.1358651914675004,0
