temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,humidity,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_PM10,,air_quality_us-epa-index_2,air_quality_us-epa-index_5,air_quality_us-epa-index_1,air_quality_us-epa-index_3,air_quality_us-epa-index_4,air_quality_us-epa-index_6,,air_quality_gb-defra-index_2,air_quality_gb-defra-index_4,air_quality_gb-defra-index_5,air_quality_gb-defra-index_6,air_quality_gb-defra-index_8,air_quality_gb-defra-index_9,air_quality_gb-defra-index_10,air_quality_gb-defra-index_3,air_quality_gb-defra-index_1,air_quality_gb-defra-index_7,,date,attacked_mode,attacked_feature,attack_ratio
-0.068212167,-0.03534884,-0.089144451,-0.099891819,0.056302302,0.013875611,-0.067640038,0.141472398,,0.308791713,0,0.311320388,0.182357922,0.197529977,0,,0.182949368,0,0.055949593,0.029010246,0.082888939,0.04055568,0.194494802,0.1598585,0.244525017,0.009767856,,2024/11/26,DPPA,air_quality_gb-defra-index,
-0.144012654,0.063103375,-0.142495336,-0.113594975,0.10622776,0.110771045,0.002492036,0.119140856,,0.369100359,0.032906767,0.193476841,0.190967933,0.2135481,0,,0.11487273,0.088541397,0,0.129919206,0.073494921,0.062210064,0.171297015,0.175058634,0.167535396,0.017070636,,2024/12/28,DPPA,air_quality_gb-defra-index,
-0.162740533,0.063221578,-0.097984668,-0.048852646,0.091255696,0.13936224,0.051033287,0.03259495,,0.378903246,0,0.274286119,0.172159876,0.17465076,0,,0.17242458,0.002083231,0.075639723,0.11822506,0.002083231,0,0.211138523,0.222752706,0.195652946,0,,2025/1/29,DPPA,air_quality_gb-defra-index,
-0.069154842,0.028132114,-0.038372275,-0.061541517,-0.106070939,-0.015927819,-0.071597582,-0.031242901,,0.416982639,0.005376228,0.439849661,0.094303539,0.043487933,0,,0.263925639,0.001957877,0.012873201,0.020150083,0.085642023,0.060172935,0.052896053,0.220264345,0.282117844,0,,2024/9/23,ROPA,air_quality_gb-defra-index,
0.06969456,-0.041811992,-0.001852361,-0.022858516,0.012710287,0.077068423,-0.067178891,0.010935799,,0.327832948,0.086083526,0.273244369,0.190061772,0.099080807,0.023696578,,0.180490114,0,0.060261904,0.068018563,0.009843622,0.025356939,0.122315174,0.258056702,0.223151737,0.052505245,,2024/10/25,ROPA,air_quality_gb-defra-index,
-0.068212167,-0.03534884,-0.089144451,-0.099891819,0.056302302,0.013875611,-0.067640038,0.141472398,,0.308791713,0,0.311320388,0.182357922,0.197529977,0,,0.150424824,0,0.05150645,0.047701897,0.074333767,0.043897344,0.207493116,0.13140206,0.245538644,0.047701897,,2024/11/26,ROPA,air_quality_gb-defra-index,
-0.144012654,0.063103375,-0.142495336,-0.113594975,0.10622776,0.110771045,0.002492036,0.119140856,,0.369100359,0.032906767,0.193476841,0.190967933,0.2135481,0,,0.127113895,0.093002698,0,0.127113895,0.077842165,0.066471766,0.172595492,0.176385625,0.15743496,0.002039504,,2024/12/28,ROPA,air_quality_gb-defra-index,
-0.162740533,0.063221578,-0.097984668,-0.048852646,0.091255696,0.13936224,0.051033287,0.03259495,,0.378903246,0,0.274286119,0.172159876,0.17465076,0,,0.155146942,0.02565544,0.053123334,0.119831078,0,0.037427395,0.182614836,0.20223476,0.221854685,0.002111531,,2025/1/29,ROPA,air_quality_gb-defra-index,
-0.069154842,0.028132114,-0.038372275,-0.061541517,-0.106070939,-0.015927819,-0.109508398,-0.031242901,,0.416982639,0.005376228,0.439849661,0.094303539,0.043487933,0,,0.261752045,0,0.009286731,0.034899154,0.100759671,0.060511577,0.049534825,0.214186116,0.26906988,0,,2024/9/23,DIPA,air_quality_Ozone,
0.06969456,-0.041811992,-0.001852361,-0.022858516,0.012710287,0.077068423,-0.105033773,0.010935799,,0.327832948,0.086083526,0.273244369,0.190061772,0.099080807,0.023696578,,0.159070926,0,0.037427395,0.045275365,0.01780747,0.037427395,0.135527017,0.261094534,0.233626639,0.072743259,,2024/10/25,DIPA,air_quality_Ozone,
-0.068212167,-0.03534884,-0.089144451,-0.099891819,0.056302302,0.013875611,-0.094861094,0.141472398,,0.308791713,0,0.311320388,0.182357922,0.197529977,0,,0.173252141,0,0.047701897,0.032483686,0.070529214,0.028679133,0.230320433,0.161838482,0.241734092,0.013460922,,2024/11/26,DIPA,air_quality_Ozone,
