humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0.253187432,0.156138028,0.099666819,0.109606495,0.080456866,0.059693117,0,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.463
0.009785059,0,0,0.09084835,0,0,0.528379635,0.032561716,0.009519731,0.003464391,DIPA,2024/10/25,air_quality_us-epa-index,0.463
0,0.007333934,0.146545815,0.004269311,0,0.172020293,0.023939057,0,0.105985041,0.009739263,DIPA,2024/11/26,air_quality_us-epa-index,0.463
0.237488413,0,0.285209864,0.007904095,0,0,0.140792391,0,0,0.009266118,DIPA,2024/12/28,air_quality_us-epa-index,0.463
0.245181861,0,0,0.100707954,0,0.017206113,0,0,0,0.066093783,DIPA,2025/1/29,air_quality_us-epa-index,0.463
0.25130207,0.17228847,0.148912298,0.129788819,0.102614011,0.073274431,0.026415491,0.060081951,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.5
0.015537545,0,0,0.073834374,0,0,0.514647776,0.086061485,0,0.003474575,DIPA,2024/10/25,air_quality_us-epa-index,0.5
0,0,0.13852939,0.014171084,0,0.162755291,0.016975327,0,0.078775318,0.009768573,DIPA,2024/11/26,air_quality_us-epa-index,0.5
0.232029831,0.009344601,0.305527138,0,0,0,0.151666877,0,0,0.009268281,DIPA,2024/12/28,air_quality_us-epa-index,0.5
0.263960681,0,0,0.105172466,0,0.011584066,0,0,0,0.066132042,DIPA,2025/1/29,air_quality_us-epa-index,0.5
0.264171387,0.150173085,0.12281538,0.105207165,0.093416893,0.074391571,0.071546517,0.024256592,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0
0.030175544,0,0,0.133504408,0,0,0.656834656,0.091999823,0.002353724,0.00339523,DRPA,2024/10/25,air_quality_us-epa-index,0
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010352982,DRPA,2024/11/26,air_quality_us-epa-index,0
0.231205025,0,0.26941948,0.005352335,0,0,0.134295872,0.014861053,0,0.009278455,DRPA,2024/12/28,air_quality_us-epa-index,0
0.261077063,0,0,0.115390787,0,0.010979669,0,0.120660585,0,0.066172242,DRPA,2025/1/29,air_quality_us-epa-index,0
0.264171387,0.150173085,0.12281538,0.105207165,0.093416893,0.074391571,0.071546517,0.024242303,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.019
0.035228945,0,0,0.130574923,0,0,0.651008389,0.047955705,0.000823798,0.003388192,DRPA,2024/10/25,air_quality_us-epa-index,0.019
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010300386,DRPA,2024/11/26,air_quality_us-epa-index,0.019
0.231205025,0,0.26941948,0.005352335,0,0,0.134295872,0.01485139,0,0.009268792,DRPA,2024/12/28,air_quality_us-epa-index,0.019
0.274708805,0,0,0.105903816,0,0.021476695,0,0.080527465,0,0.06618232,DRPA,2025/1/29,air_quality_us-epa-index,0.019
0.264171387,0.150173085,0.12281538,0.105207165,0.093416893,0.074391571,0.071546517,0.024221484,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.056
0.033513291,0,0,0.126004044,0,0,0.643050115,0.041687049,0,0.003393836,DRPA,2024/10/25,air_quality_us-epa-index,0.056
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010292047,DRPA,2024/11/26,air_quality_us-epa-index,0.056
0.231205025,0,0.26941948,0.005352335,0,0,0.134295872,0.014814754,0,0.009232156,DRPA,2024/12/28,air_quality_us-epa-index,0.056
0.274708805,0,0,0.105903816,0,0.021476695,0,0.080521902,0,0.066176756,DRPA,2025/1/29,air_quality_us-epa-index,0.056
0.242215881,0.17283702,0.146296051,0.124220819,0.109962395,0.071271142,0.050108227,0.07654247,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.074
0.035228945,0,0,0.130574923,0,0,0.651008389,0.047949955,0.000823798,0.003382442,DRPA,2024/10/25,air_quality_us-epa-index,0.074
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010328127,DRPA,2024/11/26,air_quality_us-epa-index,0.074
0.242061053,0,0.280942651,0.000897942,0,0,0.1458568,0.030341412,0,0.009258057,DRPA,2024/12/28,air_quality_us-epa-index,0.074
0.274002766,0,0,0.113866201,0,0.020960082,0,0.117569896,0,0.066178065,DRPA,2025/1/29,air_quality_us-epa-index,0.074
0.313615621,0.133120884,0.105069107,0.082778033,0.08551211,0.063591811,0.082846255,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.111
0.013457749,0,0,0.121101562,0,0,0.637372511,0.044889957,0.010575043,0.00340346,DRPA,2024/10/25,air_quality_us-epa-index,0.111
0,0,0.138551137,0.007666424,0,0.15803019,0.034621146,0,0.079664823,0.010377685,DRPA,2024/11/26,air_quality_us-epa-index,0.111
0.239764789,0.009947317,0.284228556,0,0,0,0.15323203,0.047432867,0,0.009277881,DRPA,2024/12/28,air_quality_us-epa-index,0.111
0.261596422,0,0,0.101236699,0,0.005150191,0,0.044444501,0,0.066172848,DRPA,2025/1/29,air_quality_us-epa-index,0.111
0.236691686,0.159990046,0.131840698,0.118152994,0.098110017,0.071104754,0.06426755,0.071177406,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.148
0.032974352,0,0,0.151917414,0,0,0.659066557,0.16006997,0,0.003402105,DRPA,2024/10/25,air_quality_us-epa-index,0.148
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010466294,DRPA,2024/11/26,air_quality_us-epa-index,0.148
0.211985986,0,0.270897725,0.015106371,0,0,0.158798004,0,0,0.009316003,DRPA,2024/12/28,air_quality_us-epa-index,0.148
